time,x,y,theta,v,omega
0.0,0.0,0.0,0.0,2.0,0.1
0.1,0.19999666668333332,0.0009999916666947328,0.010000000000000002,2.0,0.1
0.2,0.3999733338666617,0.003999866668444874,0.020000000000000004,2.0,0.1
0.30000000000000004,0.5999100040499133,0.008999325020249138,0.030000000000000006,2.0,0.1
0.4,0.7997866837326834,0.015997866780441683,0.04000000000000001,2.0,0.1
0.5,0.9995833854135666,0.024994792100674346,0.05,2.0,0.1
0.6000000000000001,1.1992801295888922,0.03598920129591621,0.06000000000000001,2.0,0.1
0.7000000000000001,1.3988569467506553,0.0489799949344083,0.07,2.0,0.1
0.8,1.5982938793834542,0.06396587394761344,0.08000000000000002,2.0,0.1
0.9,1.7975709839602212,0.08094533976011453,0.09000000000000001,2.0,0.1
1.0,1.996668332936563,0.09991669443948359,0.1,2.0,0.1
1.1,2.1955660167434967,0.12087804086606369,0.11000000000000001,2.0,0.1
1.2000000000000002,2.3942441457783876,0.143827282922675,0.12000000000000002,2.0,0.1
1.3,2.592682852393897,0.1687621257042382,0.13,2.0,0.1
1.4000000000000001,2.79086229288473,0.19568007574725765,0.14,2.0,0.1
1.5,2.988762649471985,0.22457844127915516,0.15000000000000002,2.0,0.1
1.6,3.18636413228492,0.2554543324874614,0.16000000000000003,2.0,0.1
1.7000000000000002,3.383646981339921,0.288304661808787,0.17000000000000004,2.0,0.1
1.8,3.5805914685164844,0.323126144237571,0.18000000000000002,2.0,0.1
1.9000000000000001,3.7771778995300123,0.35991529765459385,0.19000000000000003,2.0,0.1
2.0,3.9733866159012243,0.3986684431751675,0.2,2.0,0.1
2.1,4.169197996921992,0.4393817055170346,0.21000000000000002,2.0,0.1
2.2,4.364592461617387,0.4820510133878897,0.22000000000000003,2.0,0.1
2.3000000000000003,4.559550470703769,0.5266720998925045,0.23000000000000004,2.0,0.1
2.4000000000000004,4.754052528542693,0.573240502959409,0.24000000000000005,2.0,0.1
2.5,4.948079185090458,0.6217515657871053,0.25,2.0,0.1
2.6,5.141611037843102,0.6722004373097357,0.26,2.0,0.1
2.7,5.334628733776623,0.7245820726821894,0.27,2.0,0.1
2.8000000000000003,5.527112971282275,0.7788912337845821,0.28,2.0,0.1
2.9000000000000004,5.719044502096712,0.8351224897460563,0.29000000000000004,2.0,0.1
3.0,5.910404133226792,0.8932702174878804,0.30000000000000004,2.0,0.1
3.1,6.101172728868871,0.9533286022857324,0.31000000000000005,2.0,0.1
3.2,6.291331212322357,1.0152916383511834,0.32000000000000006,2.0,0.1
3.3000000000000003,6.480860567897368,1.079153129432262,0.33000000000000007,2.0,0.1
3.4000000000000004,6.669741842816289,1.1449066894330762,0.3400000000000001,2.0,0.1
3.5,6.857956149109028,1.2125457430524222,0.35000000000000003,2.0,0.1
3.6,7.0454846655017995,1.2820635264413038,0.36000000000000004,2.0,0.1
3.7,7.232308639299241,1.3534530878793127,0.37000000000000005,2.0,0.1
3.8000000000000003,7.418409388259654,1.426707288469795,0.38000000000000006,2.0,0.1
3.9000000000000004,7.60376830246323,1.5018188028537405,0.39000000000000007,2.0,0.1
4.0,7.788366846173011,1.578780119942298,0.4,2.0,0.1
4.1000000000000005,7.972186559688459,1.6575835436678976,0.4100000000000001,2.0,0.1
4.2,8.155209061191403,1.738221193753835,0.42000000000000004,2.0,0.1
4.3,8.337416048584215,1.8206850065022984,0.43,2.0,0.1
4.4,8.518789301319993,1.9049667356007327,0.44000000000000006,2.0,0.1
4.5,8.699310682224604,1.9910579529464623,0.45,2.0,0.1
4.6000000000000005,8.878962139310397,2.0789500494894964,0.4600000000000001,2.0,0.1
4.7,9.057725707581367,2.1686342360934208,0.47000000000000003,2.0,0.1
4.800000000000001,9.23558351082966,2.260101544414317,0.4800000000000001,2.0,0.1
4.9,9.412517763423162,2.353342827797571,0.49000000000000005,2.0,0.1
5.0,9.58851077208406,2.448348762192545,0.5,2.0,0.1
5.1000000000000005,9.763544937658152,2.5451098470849765,0.5100000000000001,2.0,0.1
5.2,9.937602756874735,2.6436164064470025,0.52,2.0,0.1
5.300000000000001,10.110666824096942,2.743858589704782,0.5300000000000001,2.0,0.1
5.4,10.282719833062261,2.8458263727235167,0.54,2.0,0.1
5.5,10.453744578613184,2.9495095588098863,0.55,2.0,0.1
5.6000000000000005,10.623723958417667,3.054897779731678,0.56,2.0,0.1
5.7,10.792640974679387,3.161980496754626,0.5700000000000001,2.0,0.1
5.800000000000001,10.960478735837473,3.2707470016962614,0.5800000000000001,2.0,0.1
5.9,11.127220458255678,3.381186417996731,0.5900000000000001,2.0,0.1
6.0,11.292849467900709,3.4932877018064357,0.6000000000000001,2.0,0.1
6.1000000000000005,11.457349202009626,3.6070396430904106,0.6100000000000001,2.0,0.1
6.2,11.620703210746104,3.722430866749322,0.6200000000000001,2.0,0.1
6.300000000000001,11.782895158845392,3.839449833756965,0.6300000000000001,2.0,0.1
6.4,11.943908827247842,3.958084842314149,0.6400000000000001,2.0,0.1
6.5,12.103728114720791,4.078324029018883,0.65,2.0,0.1
6.6000000000000005,12.262337039468678,4.2001553700527,0.6600000000000001,2.0,0.1
6.7,12.419719740731194,4.3235666823830154,0.67,2.0,0.1
6.800000000000001,12.575860480369371,4.448545624981444,0.6800000000000002,2.0,0.1
6.9,12.73074364443936,4.575079700057869,0.6900000000000001,2.0,0.1
7.0,12.884353744753822,4.703156254310232,0.7000000000000001,2.0,0.1
7.1000000000000005,13.036675420430734,4.832762480189839,0.7100000000000001,2.0,0.1
7.2,13.187693439429465,4.963885417182102,0.7200000000000001,2.0,0.1
7.300000000000001,13.337392700073957,5.096511953102594,0.7300000000000001,2.0,0.1
7.4,13.485758232562903,5.230628825408243,0.7400000000000001,2.0,0.1
7.5,13.632775200466682,5.366222622523582,0.75,2.0,0.1
7.6000000000000005,13.77842890221103,5.503279785181898,0.7600000000000001,2.0,0.1
